Namespace(model='pctrope', exp_name='train_pctrope', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Test 42, loss: 1.619407, test acc: 0.861650, test avg acc: 0.783957
Train 43, loss: 1.659066, train acc: 0.867034, train avg acc: 0.796709
Test 43, loss: 1.605298, test acc: 0.871359, test avg acc: 0.779092
Train 44, loss: 1.628899, train acc: 0.883578, train avg acc: 0.814055
Test 44, loss: 1.615486, test acc: 0.871359, test avg acc: 0.786466
Train 45, loss: 1.643076, train acc: 0.876838, train avg acc: 0.813230
Test 45, loss: 1.613431, test acc: 0.866505, test avg acc: 0.779361
Train 46, loss: 1.633496, train acc: 0.879902, train avg acc: 0.811331
Test 46, loss: 1.596644, test acc: 0.885922, test avg acc: 0.797911
Train 47, loss: 1.624827, train acc: 0.884191, train avg acc: 0.828205
Test 47, loss: 1.613558, test acc: 0.871359, test avg acc: 0.785516
Train 48, loss: 1.605917, train acc: 0.893382, train avg acc: 0.835935
Test 48, loss: 1.589163, test acc: 0.881068, test avg acc: 0.802138
Train 49, loss: 1.621651, train acc: 0.890319, train avg acc: 0.818873
Test 49, loss: 1.592510, test acc: 0.885922, test avg acc: 0.804154
Train 50, loss: 1.618703, train acc: 0.891544, train avg acc: 0.834062
Test 50, loss: 1.590929, test acc: 0.873786, test avg acc: 0.788609
Train 51, loss: 1.608592, train acc: 0.887868, train avg acc: 0.816162
Test 51, loss: 1.600204, test acc: 0.883495, test avg acc: 0.810658
Train 52, loss: 1.608763, train acc: 0.884804, train avg acc: 0.819622
Test 52, loss: 1.587848, test acc: 0.881068, test avg acc: 0.788885
Train 53, loss: 1.600182, train acc: 0.905637, train avg acc: 0.851304
Test 53, loss: 1.594204, test acc: 0.873786, test avg acc: 0.786346
Train 54, loss: 1.623628, train acc: 0.883578, train avg acc: 0.825028
Test 54, loss: 1.595520, test acc: 0.878641, test avg acc: 0.794175
Train 55, loss: 1.618574, train acc: 0.886642, train avg acc: 0.831642
Test 55, loss: 1.589087, test acc: 0.876214, test avg acc: 0.792868
Train 56, loss: 1.616809, train acc: 0.892770, train avg acc: 0.837879
Test 56, loss: 1.594765, test acc: 0.878641, test avg acc: 0.800213
Train 57, loss: 1.594062, train acc: 0.894608, train avg acc: 0.836121
Test 57, loss: 1.583774, test acc: 0.876214, test avg acc: 0.792160
Train 58, loss: 1.606204, train acc: 0.885417, train avg acc: 0.821157
Test 58, loss: 1.588883, test acc: 0.871359, test avg acc: 0.785936
Train 59, loss: 1.574852, train acc: 0.901961, train avg acc: 0.842794
Test 59, loss: 1.584205, test acc: 0.866505, test avg acc: 0.779477
Train 60, loss: 1.598016, train acc: 0.895833, train avg acc: 0.826839
Test 60, loss: 1.577994, test acc: 0.885922, test avg acc: 0.798214
Train 61, loss: 1.602597, train acc: 0.892157, train avg acc: 0.837622
Test 61, loss: 1.585007, test acc: 0.866505, test avg acc: 0.782728
Train 62, loss: 1.589259, train acc: 0.904412, train avg acc: 0.855218
Test 62, loss: 1.581107, test acc: 0.871359, test avg acc: 0.785481
Train 63, loss: 1.583347, train acc: 0.900735, train avg acc: 0.846872
Test 63, loss: 1.588872, test acc: 0.866505, test avg acc: 0.783115
Train 64, loss: 1.584672, train acc: 0.901348, train avg acc: 0.842854
Test 64, loss: 1.580146, test acc: 0.883495, test avg acc: 0.793401
Train 65, loss: 1.576900, train acc: 0.906863, train avg acc: 0.836684
Test 65, loss: 1.586825, test acc: 0.878641, test avg acc: 0.793177
Train 66, loss: 1.590989, train acc: 0.896446, train avg acc: 0.846731
Test 66, loss: 1.581737, test acc: 0.888350, test avg acc: 0.796432
Train 67, loss: 1.587123, train acc: 0.900735, train avg acc: 0.844869
Test 67, loss: 1.580240, test acc: 0.881068, test avg acc: 0.805378
Train 68, loss: 1.578544, train acc: 0.910539, train avg acc: 0.847198
