Input points: 256
Block 2: 4.199025
Block 3: 4.038426
Block 0: 4.840392
Block 1: 4.773429
Block 2: 4.281382
Block 3: 3.742421
Block 0: 4.841603
Block 1: 4.763244
Block 2: 4.180939
Block 3: 3.763606
Block 0: 4.842425
Block 1: 4.778988
Block 2: 4.309824
Block 3: 3.907204
Block 0: 4.838848
Block 1: 4.771255
Block 2: 4.171068
Block 3: 3.684854
Block 0: 4.841525
Block 1: 4.759071
Block 2: 4.180191
Block 3: 3.661123
Block 0: 4.841813
Block 1: 4.762004
Block 2: 4.240712
Block 3: 3.813881
Block 0: 4.841629
Block 1: 4.775608
Block 2: 4.382483
Block 3: 3.787317
Block 0: 4.839828
Block 1: 4.764088
Block 2: 4.265284
Block 3: 3.724873
Block 0: 4.839062
Block 1: 4.766899
Block 2: 4.216455
Block 3: 3.658743
Block 0: 4.841474
Block 1: 4.770744
Block 2: 4.268582
Block 3: 3.579198
Block 0: 4.841019
Block 1: 4.770973
Block 2: 4.314998
Block 3: 3.665243
Block 0: 4.842874
Block 1: 4.779352
Block 2: 4.251187
Block 3: 3.852276
Block 0: 4.840530
Block 1: 4.763858
Block 2: 4.255589
Block 3: 3.707970
Block 0: 4.841602
Block 1: 4.772802
Block 2: 4.180014
Block 3: 3.905137
Block 0: 4.841945
Block 1: 4.776487
Block 2: 4.078821
Block 3: 3.734985
Block 0: 4.841877
Block 1: 4.770511
Block 2: 4.229618
Block 3: 3.714797
Block 0: 4.842056
Block 1: 4.770620
Block 2: 4.047166
Block 3: 3.648963
Block 0: 4.843378
Block 1: 4.785453
Block 2: 4.237113
Block 3: 3.697484
Block 0: 4.841525
Block 1: 4.780503
Block 2: 4.212024
Block 3: 3.849327
Block 0: 4.841681
Block 1: 4.759418
Block 2: 4.074791
Block 3: 3.556424
Block 0: 4.838571
Block 1: 4.757793
Block 2: 4.203853
Block 3: 3.774127
Block 0: 4.842444
Block 1: 4.775800
Block 2: 4.131897
Block 3: 3.775614
Block 0: 4.841716
Block 1: 4.766817
Block 2: 4.281610
Block 3: 3.806103
Block 0: 4.844280
Block 1: 4.779117
Block 2: 4.349728
Block 3: 3.929849
Block 0: 4.842154
Block 1: 4.780172
Block 2: 4.252780
Block 3: 3.796124
Block 0: 4.841331
Block 1: 4.767900
Block 2: 4.279871
Block 3: 3.750867
Block 0: 4.842320
Block 1: 4.781016
Block 2: 4.249923
Block 3: 4.000099
Block 0: 4.842762
Block 1: 4.771847
Block 2: 4.181931
Block 3: 3.620664
Block 0: 4.839600
Block 1: 4.769690
Block 2: 4.194283
Block 3: 3.670867
Block 0: 4.839746
Block 1: 4.751350
Block 2: 4.139336
Block 3: 3.832093
Block 0: 4.841949
Block 1: 4.771839
Block 2: 4.319523
Block 3: 3.800019
Block 0: 4.842647
Block 1: 4.769201
Block 2: 4.099738
Block 3: 3.614949
Block 0: 4.839597
Block 1: 4.771135
Block 2: 4.225088
Block 3: 3.616591
Block 0: 4.838930
Block 1: 4.751148
Block 2: 4.244562
Block 3: 3.747256
Block 0: 4.838161
Block 1: 4.752248
Block 2: 4.170620
Block 3: 3.549229
Block 0: 4.836047
Block 1: 4.772282
Block 2: 4.243347
Block 3: 3.791552
Block 0: 4.843622
Block 1: 4.773100
Block 2: 4.291043
Block 3: 3.670514
Block 0: 4.841023
Block 1: 4.763074
Block 2: 4.235162
Block 3: 3.641407
Block 0: 4.841894
Block 1: 4.767406
Block 2: 4.217818
Block 3: 3.803869
Block 0: 4.842376
Block 1: 4.769182
Block 2: 4.314857
Block 3: 3.694470
Block 0: 4.840437
Block 1: 4.764585
Block 2: 4.238254
Block 3: 3.833070
Block 0: 4.839843
Block 1: 4.768853
Block 2: 4.120687
Block 3: 3.711211
Block 0: 4.842400
Block 1: 4.773416
Block 2: 4.333575
Block 3: 3.765257
Block 0: 4.840723
Block 1: 4.766968
Block 2: 4.347115
Block 3: 3.897816
Block 0: 4.842172
Block 1: 4.771283
Block 2: 4.241292
Block 3: 3.737714
Block 0: 4.841986
Block 1: 4.774095
Block 2: 4.252705
Block 3: 3.779377
Block 0: 4.844653
Block 1: 4.795108
Block 2: 4.375402
Block 3: 3.931168
Block 0: 4.840663
Block 1: 4.772644
Block 2: 4.165667
Block 3: 3.717696
Block 0: 4.841490
Block 1: 4.765911
Block 2: 4.174500
Block 3: 3.676149
Block 0: 4.838399
Block 1: 4.764605
Block 2: 4.268587
Block 3: 3.733783
Block 0: 4.841726
Block 1: 4.775065
Block 2: 4.378393
Block 3: 3.950718
Block 0: 4.838412
Block 1: 4.747333
Block 2: 4.195648
Block 3: 3.615410
Block 0: 4.841287
Block 1: 4.776833
Block 2: 4.224317
Block 3: 3.734724
Block 0: 4.843686
Block 1: 4.782313
Block 2: 4.175777
Block 3: 3.785025
Block 0: 4.835833
Block 1: 4.737870
Block 2: 4.142589
Block 3: 3.582285
Block 0: 4.843874
Block 1: 4.786829
Block 2: 4.357095
Block 3: 3.945527
Block 0: 4.841971
Block 1: 4.771808
Block 2: 4.144862
Block 3: 3.620650
Block 0: 4.844278
Block 1: 4.786275
Block 2: 4.253751
Block 3: 3.823778
Block 0: 4.842143
Block 1: 4.773691
Block 2: 4.297825
Block 3: 3.850866
Block 0: 4.840384
Block 1: 4.762969
Block 2: 4.290671
Block 3: 3.712586
Block 0: 4.841682
Block 1: 4.782972
Block 2: 4.293338
Block 3: 3.778656
Block 0: 4.843066
Block 1: 4.780751
Block 2: 4.314858
Block 3: 3.810732
Block 0: 4.843186
Block 1: 4.776067
Block 2: 4.253026
Block 3: 3.762210
Block 0: 4.843442
Block 1: 4.776183
Block 2: 4.211818
Block 3: 3.882287
Block 0: 4.843394
Block 1: 4.789075
Block 2: 4.344871
Block 3: 3.887275
Block 0: 4.839487
Block 1: 4.764002
Block 2: 4.247579
Block 3: 3.721544
Block 0: 4.842628
Block 1: 4.775581
Block 2: 4.229656
Block 3: 3.719389
Block 0: 4.840090
Block 1: 4.759594
Block 2: 4.316981
Block 3: 3.692501
Block 0: 4.841023
Block 1: 4.771487
Block 2: 4.230274
Block 3: 3.724357
Block 0: 4.840582
Block 1: 4.758404
Block 2: 4.280295
Block 3: 3.784667
Block 0: 4.842102
Block 1: 4.766821
Block 2: 4.148249
Block 3: 3.795497
Block 0: 4.843112
Block 1: 4.777967
Block 2: 4.303074
Block 3: 3.931417
Block 0: 4.842877
Block 1: 4.773076
Block 2: 4.153222
Block 3: 3.750571
Block 0: 4.842792
Block 1: 4.780605
Block 2: 4.362849
Block 3: 3.928208
Block 0: 4.841578
Block 1: 4.777452
Block 2: 4.230001
Block 3: 3.634692
Block 0: 4.840872
Block 1: 4.770773
Block 2: 4.221691
Block 3: 3.700199
Block 0: 4.837152
Block 1: 4.754575
Block 2: 4.133500
Block 3: 3.704332
Block 0: 4.841434
Block 1: 4.775081
Block 2: 4.298236
Block 3: 3.786661
Block 0: 4.840935
Block 1: 4.768062
Block 2: 4.297149
Block 3: 3.882599
Block 0: 4.840941
Block 1: 4.766379
Block 2: 4.273565
Block 3: 3.826860
Block 0: 4.837765
Block 1: 4.760014
Block 2: 4.237329
Block 3: 3.738906
Block 0: 4.842017
Block 1: 4.768830
Block 2: 4.339004
Block 3: 3.861998
Block 0: 4.839935
Block 1: 4.757734
Block 2: 4.218990
Block 3: 3.688195
Block 0: 4.842343
Block 1: 4.772891
Block 2: 4.355114
Block 3: 3.847970
Block 0: 4.840618
Block 1: 4.772377
Block 2: 4.301726
Block 3: 3.870162
Block 0: 4.845075
Block 1: 4.790857
Block 2: 4.300867
Block 3: 3.871299
Block 0: 4.842987
Block 1: 4.778100
Block 2: 4.288899
Block 3: 3.693834
Block 0: 4.841788
Block 1: 4.777662
Block 2: 4.352376
Block 3: 3.793351
Block 0: 4.840907
Block 1: 4.760182
Block 2: 4.217792
Block 3: 3.587557
Block 0: 4.838818
Block 1: 4.766636
Block 2: 4.240004
Block 3: 3.675327
Block 0: 4.840788
Block 1: 4.767047
Block 2: 4.261954
Block 3: 3.750884
Block 0: 4.843887
Block 1: 4.789758
Block 2: 4.370755
Block 3: 3.811415
Block 0: 4.839755
Block 1: 4.762050
Block 2: 4.220665
Block 3: 3.687549
Block 0: 4.841635
Block 1: 4.766906
Block 2: 4.326501
Block 3: 3.803542
Block 0: 4.842649
Block 1: 4.769004
Block 2: 4.245134
Block 3: 3.798743
Block 0: 4.840069
Block 1: 4.743498
Block 2: 4.142607
Block 3: 3.662834
Block 0: 4.840047
Block 1: 4.744098
Block 2: 4.099422
Block 3: 3.578658
Block 0: 4.842323
Block 1: 4.775495
Block 2: 4.356872
Block 3: 3.729243
Block 0: 4.843721
Block 1: 4.784389
Block 2: 4.412921
Block 3: 3.981588
Block 0: 4.843298
Block 1: 4.783228
Block 2: 4.315470
Block 3: 3.780298
Block 0: 4.840396
Block 1: 4.759810
Block 2: 4.326415
Block 3: 3.678152
Block 0: 4.838995
Block 1: 4.757649
Block 2: 4.133156
Block 3: 3.635969
Block 0: 4.840270
Block 1: 4.769529
Block 2: 4.126906
Block 3: 3.690484
Block 0: 4.843809
Block 1: 4.792466
Block 2: 4.336061
Block 3: 3.906997
Block 0: 4.836295
Block 1: 4.742594
Block 2: 4.197100
Block 3: 3.542497
Block 0: 4.840870
Block 1: 4.760224
Block 2: 4.337947
Block 3: 3.826463
Block 0: 4.839330
Block 1: 4.761135
Block 2: 4.179231
Block 3: 3.805210
Block 0: 4.836496
Block 1: 4.780588
Block 2: 4.236465
Block 3: 3.731148
Block 0: 4.842884
Block 1: 4.780424
Block 2: 4.328534
Block 3: 3.812951
Block 0: 4.841910
Block 1: 4.771837
Block 2: 4.256284
Block 3: 3.781639
Block 0: 4.843275
Block 1: 4.784106
Block 2: 4.297850
Block 3: 3.866628
Block 0: 4.843307
Block 1: 4.784615
Block 2: 4.323427
Block 3: 3.859354
Block 0: 4.838587
Block 1: 4.750511
Block 2: 4.158793
Block 3: 3.488406
Block 0: 4.833167
Block 1: 4.784005
Block 2: 4.293256
Block 3: 3.831725
Block 0: 4.841400
Block 1: 4.771536
Block 2: 4.251222
Block 3: 3.865283
Block 0: 4.842357
Block 1: 4.783599
Block 2: 4.318501
Block 3: 3.913918
Block 0: 4.843348
Block 1: 4.779638
Block 2: 4.317219
Block 3: 3.852568
Block 0: 4.842112
Block 1: 4.765108
Block 2: 4.272525
Block 3: 3.890981
Block 0: 4.839100
Block 1: 4.757447
Block 2: 4.288273
Block 3: 3.705409
Block 0: 4.840481
Block 1: 4.765972
Block 2: 4.179685
Block 3: 3.629861
Block 0: 4.840283
Block 1: 4.762014
Block 2: 4.188778
Block 3: 3.724025
Block 0: 4.842732
Block 1: 4.777258
Block 2: 4.361183
Block 3: 3.937289
Block 0: 4.842947
Block 1: 4.774455
Block 2: 4.351121
Block 3: 3.859259
Block 0: 4.841295
Block 1: 4.774165
Block 2: 4.304712
Block 3: 3.756339
Block 0: 4.841551
Block 1: 4.760891
Block 2: 4.279343
Block 3: 3.829940
Block 0: 4.842466
Block 1: 4.764843
Block 2: 4.132730
Block 3: 4.001581
Block 0: 4.845094
Block 1: 4.793597
Block 2: 4.122944
Block 3: 3.787014
Block 0: 4.839003
Block 1: 4.764888
Block 2: 4.205875
Block 3: 3.697275
Block 0: 4.841581
Block 1: 4.779970
Block 2: 4.209512
Block 3: 3.792771
Block 0: 4.842707
Block 1: 4.780479
Block 2: 4.336275
Block 3: 3.782913
Block 0: 4.842974
Block 1: 4.784531
Block 2: 4.352180
Block 3: 3.884022
Block 0: 4.840568
Block 1: 4.775588
Block 2: 4.292085
Block 3: 3.866941
Block 0: 4.837843
Block 1: 4.742673
Block 2: 4.201190
Block 3: 3.522699
Block 0: 4.840667
Block 1: 4.771339
Block 2: 4.208138
Block 3: 3.877568
Block 0: 4.842653
Block 1: 4.778239
Block 2: 4.337685
Block 3: 3.798580
Block 0: 4.843095
Block 1: 4.765799
Block 2: 4.334672
Block 3: 3.925702
Block 0: 4.841606
Block 1: 4.769656
Block 2: 4.241306
Block 3: 3.836918
Block 0: 4.835536
Block 1: 4.773382
Block 2: 4.169614
Block 3: 3.685515
Block 0: 4.845091
Block 1: 4.799001
Block 2: 4.250166
Block 3: 3.786421
Block 0: 4.841370
Block 1: 4.766820
Block 2: 4.281527
Block 3: 3.772447
Block 0: 4.842364
Block 1: 4.774120
Block 2: 4.256396
Block 3: 3.861002
Block 0: 4.839403
Block 1: 4.762599
Block 2: 4.139073
Block 3: 3.704422
Block 0: 4.840824
Block 1: 4.761011
Block 2: 4.221313
Block 3: 3.720576
Block 0: 4.840864
Block 1: 4.764573
Block 2: 4.251370
Block 3: 3.685914
Block 0: 4.841200
Block 1: 4.759741
Block 2: 4.186270
Block 3: 3.648263
Block 0: 4.843665
Block 1: 4.785972
Block 2: 4.297045
Block 3: 3.865773
Block 0: 4.842817
Block 1: 4.777453
Block 2: 4.366482
Block 3: 3.878674
Block 0: 4.837236
Block 1: 4.747010
Block 2: 4.136839
Block 3: 3.448655
Block 0: 4.839592
Block 1: 4.764532
Block 2: 4.209243
Block 3: 3.650982
Block 0: 4.841488
Block 1: 4.767919
Block 2: 4.250904
Block 3: 3.755225
Block 0: 4.842472
Block 1: 4.774110
Block 2: 4.300226
Block 3: 3.840249
Block 0: 4.840540
Block 1: 4.774789
Block 2: 4.145873
Block 3: 3.686352
Block 0: 4.841326
Block 1: 4.774959
Block 2: 4.249542
Block 3: 3.639026
Block 0: 4.843180
Block 1: 4.783723
Block 2: 4.363004
Block 3: 3.872359
Block 0: 4.841593
Block 1: 4.770206
Block 2: 4.289496
Block 3: 3.797808
Block 0: 4.842003
Block 1: 4.773189
Block 2: 4.269718
Block 3: 3.821734
Block 0: 4.834851
Block 1: 4.782911
Block 2: 4.180857
Block 3: 3.831123
Block 0: 4.842730
Block 1: 4.771936
Block 2: 4.327584
Block 3: 3.906370
Block 0: 4.840832
Block 1: 4.765282
Block 2: 4.172323
Block 3: 3.643521
Block 0: 4.835333
Block 1: 4.742532
Block 2: 4.118154
Block 3: 3.482526
Block 0: 4.834196
Block 1: 4.781210
Block 2: 4.058038
Block 3: 3.741894
Block 0: 4.844005
Block 1: 4.789385
Block 2: 4.365373
