Input points: 256
Block 2: 3.528300
Block 3: 4.806849
Block 0: 3.268846
Block 1: 4.423372
Block 2: 3.419997
Block 3: 4.525481
Block 0: 3.731798
Block 1: 4.226738
Block 2: 3.619013
Block 3: 4.410588
Block 0: 3.803680
Block 1: 4.244196
Block 2: 3.806526
Block 3: 4.649363
Block 0: 3.630904
Block 1: 4.627505
Block 2: 3.834836
Block 3: 4.815492
Block 0: 3.375442
Block 1: 4.659491
Block 2: 3.967683
Block 3: 4.690978
Block 0: 3.258804
Block 1: 4.232521
Block 2: 3.403496
Block 3: 4.570536
Block 0: 3.729662
Block 1: 4.147301
Block 2: 3.826266
Block 3: 4.631820
Block 0: 3.829312
Block 1: 4.562263
Block 2: 4.036710
Block 3: 4.851207
Block 0: 3.599748
Block 1: 4.642381
Block 2: 3.720368
Block 3: 4.681654
Block 0: 3.995788
Block 1: 4.354573
Block 2: 3.992203
Block 3: 4.815906
Block 0: 3.298084
Block 1: 4.283785
Block 2: 3.740570
Block 3: 4.343371
Block 0: 3.241702
Block 1: 4.635935
Block 2: 3.569206
Block 3: 4.801304
Block 0: 4.116642
Block 1: 4.663165
Block 2: 4.480515
Block 3: 4.859959
Block 0: 3.373921
Block 1: 4.705666
Block 2: 3.611072
Block 3: 4.859433
Block 0: 3.865389
Block 1: 4.196690
Block 2: 3.428004
Block 3: 4.723973
Block 0: 3.750291
Block 1: 4.338350
Block 2: 3.904940
Block 3: 4.814839
Block 0: 3.387692
Block 1: 4.291709
Block 2: 3.831629
Block 3: 4.403023
Block 0: 3.711944
Block 1: 4.468533
Block 2: 3.679800
Block 3: 4.441572
Block 0: 3.186829
Block 1: 4.397687
Block 2: 3.642047
Block 3: 4.155533
Block 0: 3.641196
Block 1: 4.392820
Block 2: 3.658928
Block 3: 4.621378
Block 0: 3.882883
Block 1: 4.690396
Block 2: 4.105797
Block 3: 5.045537
Block 0: 3.784596
Block 1: 4.255560
Block 2: 3.854864
Block 3: 4.642556
Block 0: 3.404534
Block 1: 4.231046
Block 2: 3.771218
Block 3: 4.839497
Block 0: 3.520675
Block 1: 3.860352
Block 2: 3.301337
Block 3: 4.412013
Block 0: 3.439598
Block 1: 4.198213
Block 2: 3.525527
Block 3: 4.441558
Block 0: 3.542773
Block 1: 4.491455
Block 2: 3.976844
Block 3: 4.944933
Block 0: 3.338555
Block 1: 4.365733
Block 2: 3.482469
Block 3: 4.395041
Block 0: 3.487120
Block 1: 4.329798
Block 2: 3.735410
Block 3: 3.919214
Block 0: 3.698838
Block 1: 4.712471
Block 2: 3.976901
Block 3: 4.839326
Block 0: 3.833318
Block 1: 4.463881
Block 2: 4.168099
Block 3: 4.859964
Block 0: 3.703755
Block 1: 4.229750
Block 2: 3.709363
Block 3: 4.551570
Block 0: 3.281486
Block 1: 4.335022
Block 2: 3.706568
Block 3: 4.406151
Block 0: 3.592455
Block 1: 4.345212
Block 2: 3.718033
Block 3: 4.659785
Block 0: 3.643375
Block 1: 4.601190
Block 2: 4.014561
Block 3: 5.175881
Block 0: 3.783823
Block 1: 4.757231
Block 2: 4.070203
Block 3: 4.974998
Block 0: 3.500254
Block 1: 4.079355
Block 2: 3.587338
Block 3: 4.660123
Block 0: 3.566329
Block 1: 4.385834
Block 2: 3.449413
Block 3: 4.578947
Block 0: 3.513175
Block 1: 4.756920
Block 2: 4.123181
Block 3: 4.757581
Block 0: 3.450377
Block 1: 4.433940
Block 2: 3.797826
Block 3: 4.701584
Block 0: 3.413914
Block 1: 4.264576
Block 2: 3.869116
Block 3: 4.459757
Block 0: 3.249432
Block 1: 4.062623
Block 2: 3.520401
Block 3: 4.412107
Block 0: 3.522757
Block 1: 4.796022
Block 2: 3.797613
Block 3: 5.017750
Block 0: 3.542397
Block 1: 4.270009
Block 2: 3.945101
Block 3: 4.779593
Block 0: 3.361736
Block 1: 4.457400
Block 2: 3.790367
Block 3: 4.703597
Block 0: 3.853539
Block 1: 4.483372
Block 2: 3.827298
Block 3: 4.522364
Block 0: 3.485596
Block 1: 4.527139
Block 2: 3.703442
Block 3: 4.846366
Block 0: 3.362834
Block 1: 4.315248
Block 2: 3.516276
Block 3: 4.258952
Block 0: 3.408145
Block 1: 4.283170
Block 2: 3.694192
Block 3: 4.734885
Block 0: 3.735987
Block 1: 4.552198
Block 2: 3.969080
Block 3: 4.777078
Block 0: 3.361486
Block 1: 4.673980
Block 2: 3.687295
Block 3: 4.414478
Block 0: 3.447383
Block 1: 3.906748
Block 2: 3.581572
Block 3: 4.836792
Block 0: 4.172021
Block 1: 4.448094
Block 2: 4.128574
Block 3: 4.907485
Block 0: 3.849874
Block 1: 4.554409
Block 2: 3.898031
Block 3: 4.981183
Block 0: 3.652535
Block 1: 4.245021
Block 2: 3.256145
Block 3: 4.551302
Block 0: 3.954124
Block 1: 4.720895
Block 2: 4.197012
Block 3: 4.909558
