Input points: 256
Block 2: 0.619464
Block 3: 0.067389
Block 0: 1.856778
Block 1: 0.665335
Block 2: 0.575776
Block 3: 0.078518
Block 0: 1.711651
Block 1: 0.713667
Block 2: 0.360325
Block 3: 0.162377
Block 0: 1.834212
Block 1: 0.834633
Block 2: 0.469277
Block 3: 0.035824
Block 0: 1.816928
Block 1: 0.620457
Block 2: 0.330800
Block 3: 0.151628
Block 0: 1.800649
Block 1: 0.732883
Block 2: 0.464976
Block 3: 0.084021
Block 0: 1.806630
Block 1: 0.674431
Block 2: 0.530743
Block 3: 0.118826
Block 0: 1.770297
Block 1: 0.692099
Block 2: 0.457591
Block 3: 0.104017
Block 0: 1.654653
Block 1: 0.644502
Block 2: 0.418366
Block 3: 0.076935
Block 0: 2.030247
Block 1: 0.691487
Block 2: 0.587040
Block 3: 0.036842
Block 0: 1.852549
Block 1: 0.616200
Block 2: 0.370706
Block 3: 0.063855
Block 0: 1.801544
Block 1: 0.711313
Block 2: 0.559687
Block 3: 0.176467
Block 0: 1.936142
Block 1: 0.673312
Block 2: 0.497766
Block 3: 0.101346
Block 0: 1.778220
Block 1: 0.740129
Block 2: 0.408011
Block 3: 0.109930
Block 0: 1.953571
Block 1: 0.614600
Block 2: 0.462389
Block 3: 0.044557
Block 0: 1.903399
Block 1: 0.712676
Block 2: 0.540669
Block 3: 0.090401
Block 0: 1.725487
Block 1: 0.766850
Block 2: 0.500671
Block 3: 0.079864
Block 0: 1.852686
Block 1: 0.585379
Block 2: 0.460433
Block 3: 0.092331
Block 0: 1.941939
Block 1: 0.645983
Block 2: 0.459291
Block 3: 0.104145
Block 0: 2.066556
Block 1: 0.864212
Block 2: 0.560361
Block 3: 0.123259
Block 0: 1.734055
Block 1: 0.679442
Block 2: 0.522759
Block 3: 0.052091
Block 0: 1.671859
Block 1: 0.598124
Block 2: 0.434813
Block 3: 0.101817
Block 0: 1.975987
Block 1: 0.613269
Block 2: 0.496615
Block 3: 0.143181
Block 0: 1.758525
Block 1: 0.769385
Block 2: 0.515317
Block 3: 0.184832
Block 0: 2.031490
Block 1: 0.883546
Block 2: 0.530841
Block 3: 0.240285
Block 0: 1.848916
Block 1: 0.795865
Block 2: 0.566518
Block 3: 0.112363
Block 0: 1.671590
Block 1: 0.780172
Block 2: 0.387289
Block 3: 0.072010
Block 0: 2.124473
Block 1: 0.727444
Block 2: 0.393806
Block 3: 0.151587
Block 0: 1.878211
Block 1: 0.801350
Block 2: 0.532509
Block 3: 0.136010
Block 0: 1.619077
Block 1: 0.645152
Block 2: 0.310859
Block 3: 0.047485
Block 0: 1.749959
