Input points: 256
Block 2: 0.661712
Block 3: 0.946633
Block 0: 0.783489
Block 1: 0.850525
Block 2: 0.674326
Block 3: 0.974410
Block 0: 0.835579
Block 1: 0.853534
Block 2: 0.706174
Block 3: 0.942755
Block 0: 0.788345
Block 1: 0.916668
Block 2: 0.720169
Block 3: 0.963733
Block 0: 0.827147
Block 1: 0.900138
Block 2: 0.710994
Block 3: 0.968404
Block 0: 0.828696
Block 1: 0.880090
Block 2: 0.703603
Block 3: 0.972828
Block 0: 0.833006
Block 1: 0.868002
Block 2: 0.649061
Block 3: 0.962188
Block 0: 0.803596
Block 1: 0.911547
Block 2: 0.734203
Block 3: 0.949979
Block 0: 0.876954
Block 1: 0.899539
Block 2: 0.764891
Block 3: 0.979857
Block 0: 0.761252
Block 1: 0.902071
Block 2: 0.712641
Block 3: 0.958911
Block 0: 0.809340
Block 1: 0.898211
Block 2: 0.740212
Block 3: 0.967329
Block 0: 0.820565
Block 1: 0.829762
Block 2: 0.705993
Block 3: 0.970061
Block 0: 0.817824
Block 1: 0.887693
Block 2: 0.640325
Block 3: 0.944857
Block 0: 0.850252
Block 1: 0.946004
Block 2: 0.770274
Block 3: 1.035719
Block 0: 0.745657
Block 1: 0.884421
Block 2: 0.662496
Block 3: 0.939324
Block 0: 0.732815
Block 1: 0.887944
Block 2: 0.659627
Block 3: 1.001014
Block 0: 0.834407
Block 1: 0.949020
Block 2: 0.737305
Block 3: 0.990897
Block 0: 0.809031
Block 1: 0.839325
Block 2: 0.653955
Block 3: 0.969485
Block 0: 0.793729
Block 1: 0.898152
Block 2: 0.747895
Block 3: 0.941279
Block 0: 0.763501
Block 1: 0.815389
Block 2: 0.625630
Block 3: 0.925862
Block 0: 0.808173
Block 1: 0.858847
Block 2: 0.668238
Block 3: 0.978632
Block 0: 0.851226
Block 1: 0.931211
Block 2: 0.766308
Block 3: 1.030990
Block 0: 0.789136
Block 1: 0.883329
Block 2: 0.696286
Block 3: 1.031132
Block 0: 0.836256
Block 1: 0.906928
Block 2: 0.732563
Block 3: 0.969575
Block 0: 0.708108
Block 1: 0.832431
Block 2: 0.594394
Block 3: 0.869845
Block 0: 0.812516
Block 1: 0.831941
Block 2: 0.678378
Block 3: 0.962617
Block 0: 0.831860
Block 1: 0.870003
Block 2: 0.765232
Block 3: 1.009309
Block 0: 0.741054
Block 1: 0.849118
Block 2: 0.626972
Block 3: 0.974497
Block 0: 0.810546
Block 1: 0.793408
Block 2: 0.692594
Block 3: 0.977728
Block 0: 0.771484
Block 1: 0.892581
Block 2: 0.729657
Block 3: 1.022963
Block 0: 0.864310
Block 1: 0.944054
Block 2: 0.760165
Block 3: 0.989033
Block 0: 0.796347
Block 1: 0.877459
Block 2: 0.724412
Block 3: 0.969772
Block 0: 0.820701
Block 1: 0.826568
Block 2: 0.697816
Block 3: 0.953501
Block 0: 0.847691
Block 1: 0.874251
Block 2: 0.693349
Block 3: 0.918156
Block 0: 0.852480
Block 1: 0.925564
Block 2: 0.773789
Block 3: 1.043623
Block 0: 0.852523
Block 1: 0.930362
Block 2: 0.764033
Block 3: 1.018426
Block 0: 0.777590
Block 1: 0.846398
Block 2: 0.684483
Block 3: 0.972547
Block 0: 0.767802
Block 1: 0.864773
Block 2: 0.716758
Block 3: 0.940840
