Namespace(model='pct', exp_name='train_pct', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Test 42, loss: 1.602445, test acc: 0.876214, test avg acc: 0.804453
Train 43, loss: 1.644347, train acc: 0.867647, train avg acc: 0.796386
Test 43, loss: 1.581949, test acc: 0.881068, test avg acc: 0.806119
Train 44, loss: 1.613397, train acc: 0.889093, train avg acc: 0.829488
Test 44, loss: 1.617293, test acc: 0.861650, test avg acc: 0.794677
Train 45, loss: 1.632217, train acc: 0.874387, train avg acc: 0.802979
Test 45, loss: 1.593217, test acc: 0.871359, test avg acc: 0.787850
Train 46, loss: 1.600374, train acc: 0.890931, train avg acc: 0.816450
Test 46, loss: 1.603345, test acc: 0.866505, test avg acc: 0.784677
Train 47, loss: 1.620651, train acc: 0.878064, train avg acc: 0.819632
Test 47, loss: 1.620504, test acc: 0.859223, test avg acc: 0.787844
Train 48, loss: 1.605190, train acc: 0.890319, train avg acc: 0.834206
Test 48, loss: 1.598520, test acc: 0.873786, test avg acc: 0.787251
Train 49, loss: 1.607293, train acc: 0.889706, train avg acc: 0.825226
Test 49, loss: 1.607549, test acc: 0.873786, test avg acc: 0.797358
Train 50, loss: 1.626442, train acc: 0.875000, train avg acc: 0.816725
Test 50, loss: 1.599206, test acc: 0.871359, test avg acc: 0.780293
Train 51, loss: 1.601849, train acc: 0.894608, train avg acc: 0.828644
Test 51, loss: 1.597983, test acc: 0.868932, test avg acc: 0.790815
Train 52, loss: 1.610593, train acc: 0.877451, train avg acc: 0.823136
Test 52, loss: 1.595085, test acc: 0.881068, test avg acc: 0.791509
Train 53, loss: 1.581109, train acc: 0.901348, train avg acc: 0.848709
Test 53, loss: 1.601830, test acc: 0.861650, test avg acc: 0.773345
Train 54, loss: 1.598207, train acc: 0.894608, train avg acc: 0.836073
Test 54, loss: 1.601513, test acc: 0.861650, test avg acc: 0.773601
Train 55, loss: 1.603660, train acc: 0.885417, train avg acc: 0.820704
Test 55, loss: 1.591211, test acc: 0.873786, test avg acc: 0.781590
Train 56, loss: 1.603581, train acc: 0.889706, train avg acc: 0.830223
Test 56, loss: 1.597738, test acc: 0.868932, test avg acc: 0.781169
Train 57, loss: 1.580078, train acc: 0.903799, train avg acc: 0.849144
Test 57, loss: 1.594964, test acc: 0.859223, test avg acc: 0.768212
Train 58, loss: 1.585990, train acc: 0.893382, train avg acc: 0.841654
Test 58, loss: 1.596962, test acc: 0.871359, test avg acc: 0.793200
Train 59, loss: 1.578658, train acc: 0.898897, train avg acc: 0.833520
Test 59, loss: 1.583663, test acc: 0.873786, test avg acc: 0.794863
Train 60, loss: 1.592218, train acc: 0.893382, train avg acc: 0.826359
Test 60, loss: 1.584280, test acc: 0.876214, test avg acc: 0.789202
Train 61, loss: 1.591206, train acc: 0.908088, train avg acc: 0.859967
Test 61, loss: 1.589465, test acc: 0.871359, test avg acc: 0.786264
Train 62, loss: 1.580323, train acc: 0.896446, train avg acc: 0.836101
Test 62, loss: 1.581320, test acc: 0.871359, test avg acc: 0.797035
Train 63, loss: 1.590368, train acc: 0.892157, train avg acc: 0.825677
Test 63, loss: 1.566560, test acc: 0.881068, test avg acc: 0.802342
Train 64, loss: 1.581462, train acc: 0.904412, train avg acc: 0.846772
Test 64, loss: 1.580979, test acc: 0.871359, test avg acc: 0.786982
Train 65, loss: 1.578001, train acc: 0.898897, train avg acc: 0.832043
Test 65, loss: 1.584199, test acc: 0.871359, test avg acc: 0.785996
Train 66, loss: 1.569846, train acc: 0.901348, train avg acc: 0.855209
Test 66, loss: 1.583912, test acc: 0.878641, test avg acc: 0.795486
Train 67, loss: 1.588854, train acc: 0.895221, train avg acc: 0.839794
Test 67, loss: 1.587639, test acc: 0.878641, test avg acc: 0.796981
Train 68, loss: 1.553250, train acc: 0.911765, train avg acc: 0.839737
Test 68, loss: 1.575547, test acc: 0.883495, test avg acc: 0.804377
Train 69, loss: 1.574321, train acc: 0.903799, train avg acc: 0.849760
Test 69, loss: 1.576236, test acc: 0.876214, test avg acc: 0.794015
Train 70, loss: 1.575000, train acc: 0.900123, train avg acc: 0.855057
Test 70, loss: 1.581252, test acc: 0.878641, test avg acc: 0.801155
Train 71, loss: 1.559039, train acc: 0.913603, train avg acc: 0.863001
Test 71, loss: 1.573324, test acc: 0.883495, test avg acc: 0.794703
Train 72, loss: 1.563209, train acc: 0.911765, train avg acc: 0.867388
Test 72, loss: 1.575508, test acc: 0.878641, test avg acc: 0.784633
Train 73, loss: 1.568699, train acc: 0.903186, train avg acc: 0.851724
Test 73, loss: 1.575605, test acc: 0.881068, test avg acc: 0.799911
Train 74, loss: 1.556591, train acc: 0.907475, train avg acc: 0.851160
Test 74, loss: 1.572356, test acc: 0.876214, test avg acc: 0.793349
Train 75, loss: 1.546465, train acc: 0.913603, train avg acc: 0.861838
Test 75, loss: 1.573039, test acc: 0.878641, test avg acc: 0.798349
Train 76, loss: 1.573521, train acc: 0.903186, train avg acc: 0.846899
Test 76, loss: 1.573662, test acc: 0.878641, test avg acc: 0.791578
Train 77, loss: 1.592234, train acc: 0.889706, train avg acc: 0.839989
Test 77, loss: 1.580962, test acc: 0.871359, test avg acc: 0.790426
Train 78, loss: 1.553866, train acc: 0.914216, train avg acc: 0.868019
Test 78, loss: 1.570126, test acc: 0.878641, test avg acc: 0.794738
Train 79, loss: 1.554772, train acc: 0.908088, train avg acc: 0.852543
Test 79, loss: 1.576795, test acc: 0.878641, test avg acc: 0.794738
Train 80, loss: 1.571086, train acc: 0.907475, train avg acc: 0.853322
Test 80, loss: 1.571973, test acc: 0.876214, test avg acc: 0.799759
Train 81, loss: 1.557830, train acc: 0.903799, train avg acc: 0.860965
Test 81, loss: 1.575105, test acc: 0.873786, test avg acc: 0.798196
Train 82, loss: 1.552522, train acc: 0.910539, train avg acc: 0.860662
Test 82, loss: 1.571063, test acc: 0.878641, test avg acc: 0.791044
Train 83, loss: 1.553675, train acc: 0.913603, train avg acc: 0.867402
Test 83, loss: 1.573609, test acc: 0.881068, test avg acc: 0.799377
Train 84, loss: 1.538647, train acc: 0.920956, train avg acc: 0.869387
Test 84, loss: 1.569836, test acc: 0.878641, test avg acc: 0.784633
Train 85, loss: 1.561947, train acc: 0.905025, train avg acc: 0.861897
Test 85, loss: 1.577115, test acc: 0.876214, test avg acc: 0.796426
Train 86, loss: 1.553790, train acc: 0.906250, train avg acc: 0.845025
Test 86, loss: 1.568329, test acc: 0.881068, test avg acc: 0.802988
Train 87, loss: 1.552558, train acc: 0.912377, train avg acc: 0.857007
