Namespace(model='pctgrid', exp_name='train_pctgrid', dataset='modelnet40', batch_size=32, test_batch_size=16, epochs=100, use_sgd=True, lr=5e-05, momentum=0.9, no_cuda=False, seed=1, eval=False, num_points=512, dropout=0.5, model_path='', local_rank=0, cuda=True)
Test 42, loss: 1.622692, test acc: 0.861650, test avg acc: 0.782078
Train 43, loss: 1.645838, train acc: 0.870711, train avg acc: 0.801959
Test 43, loss: 1.597704, test acc: 0.868932, test avg acc: 0.789623
Train 44, loss: 1.623321, train acc: 0.885417, train avg acc: 0.825488
Test 44, loss: 1.602250, test acc: 0.871359, test avg acc: 0.783300
Train 45, loss: 1.636559, train acc: 0.881740, train avg acc: 0.814943
Test 45, loss: 1.601507, test acc: 0.866505, test avg acc: 0.784267
Train 46, loss: 1.628389, train acc: 0.885417, train avg acc: 0.814784
Test 46, loss: 1.592230, test acc: 0.873786, test avg acc: 0.785077
Train 47, loss: 1.619895, train acc: 0.886642, train avg acc: 0.828810
Test 47, loss: 1.603063, test acc: 0.871359, test avg acc: 0.791210
Train 48, loss: 1.613627, train acc: 0.885417, train avg acc: 0.813297
Test 48, loss: 1.588967, test acc: 0.876214, test avg acc: 0.796747
Train 49, loss: 1.610991, train acc: 0.895221, train avg acc: 0.828689
Test 49, loss: 1.595584, test acc: 0.871359, test avg acc: 0.794417
Train 50, loss: 1.622455, train acc: 0.886029, train avg acc: 0.829779
Test 50, loss: 1.591926, test acc: 0.883495, test avg acc: 0.793185
Train 51, loss: 1.601453, train acc: 0.900123, train avg acc: 0.837090
Test 51, loss: 1.601994, test acc: 0.868932, test avg acc: 0.791075
Train 52, loss: 1.609620, train acc: 0.895833, train avg acc: 0.838795
Test 52, loss: 1.596124, test acc: 0.878641, test avg acc: 0.792171
Train 53, loss: 1.588390, train acc: 0.904412, train avg acc: 0.843764
Test 53, loss: 1.588003, test acc: 0.881068, test avg acc: 0.791714
Train 54, loss: 1.605805, train acc: 0.886642, train avg acc: 0.821010
Test 54, loss: 1.593010, test acc: 0.876214, test avg acc: 0.790529
Train 55, loss: 1.595122, train acc: 0.897059, train avg acc: 0.845077
Test 55, loss: 1.593890, test acc: 0.876214, test avg acc: 0.789686
Train 56, loss: 1.615068, train acc: 0.889706, train avg acc: 0.831709
Test 56, loss: 1.584479, test acc: 0.885922, test avg acc: 0.799200
Train 57, loss: 1.605241, train acc: 0.893382, train avg acc: 0.840486
Test 57, loss: 1.581764, test acc: 0.878641, test avg acc: 0.798193
Train 58, loss: 1.583277, train acc: 0.901961, train avg acc: 0.854080
Test 58, loss: 1.576182, test acc: 0.878641, test avg acc: 0.794613
Train 59, loss: 1.573877, train acc: 0.905637, train avg acc: 0.849988
Test 59, loss: 1.586928, test acc: 0.871359, test avg acc: 0.787686
Train 60, loss: 1.596819, train acc: 0.890931, train avg acc: 0.820412
Test 60, loss: 1.575708, test acc: 0.885922, test avg acc: 0.799373
Train 61, loss: 1.603416, train acc: 0.886029, train avg acc: 0.829765
Test 61, loss: 1.574422, test acc: 0.878641, test avg acc: 0.791892
Train 62, loss: 1.581678, train acc: 0.907475, train avg acc: 0.855194
Test 62, loss: 1.573114, test acc: 0.883495, test avg acc: 0.801885
Train 63, loss: 1.595061, train acc: 0.894608, train avg acc: 0.829891
Test 63, loss: 1.579381, test acc: 0.866505, test avg acc: 0.785387
Train 64, loss: 1.590072, train acc: 0.897672, train avg acc: 0.846267
Test 64, loss: 1.577662, test acc: 0.881068, test avg acc: 0.799976
Train 65, loss: 1.579549, train acc: 0.901348, train avg acc: 0.828335
Test 65, loss: 1.579524, test acc: 0.876214, test avg acc: 0.796744
Train 66, loss: 1.589551, train acc: 0.903186, train avg acc: 0.848365
Test 66, loss: 1.574198, test acc: 0.888350, test avg acc: 0.800670
Train 67, loss: 1.577874, train acc: 0.899510, train avg acc: 0.847859
Test 67, loss: 1.576264, test acc: 0.883495, test avg acc: 0.797914
Train 68, loss: 1.569762, train acc: 0.909314, train avg acc: 0.841238
Test 68, loss: 1.576389, test acc: 0.885922, test avg acc: 0.806863
Train 69, loss: 1.595157, train acc: 0.899510, train avg acc: 0.841936
Test 69, loss: 1.568814, test acc: 0.881068, test avg acc: 0.796875
Train 70, loss: 1.576107, train acc: 0.916667, train avg acc: 0.868824
Test 70, loss: 1.569091, test acc: 0.883495, test avg acc: 0.794720
Train 71, loss: 1.579432, train acc: 0.904412, train avg acc: 0.847503
Test 71, loss: 1.567647, test acc: 0.885922, test avg acc: 0.799670
Train 72, loss: 1.574974, train acc: 0.906863, train avg acc: 0.860388
Test 72, loss: 1.560031, test acc: 0.883495, test avg acc: 0.794200
Train 73, loss: 1.571048, train acc: 0.917892, train avg acc: 0.872559
Test 73, loss: 1.564856, test acc: 0.888350, test avg acc: 0.808334
Train 74, loss: 1.565285, train acc: 0.902574, train avg acc: 0.849239
Test 74, loss: 1.562805, test acc: 0.883495, test avg acc: 0.795000
Train 75, loss: 1.561327, train acc: 0.912990, train avg acc: 0.857692
Test 75, loss: 1.560031, test acc: 0.888350, test avg acc: 0.807962
Train 76, loss: 1.579015, train acc: 0.901961, train avg acc: 0.843052
Test 76, loss: 1.563369, test acc: 0.885922, test avg acc: 0.800191
Train 77, loss: 1.583002, train acc: 0.894608, train avg acc: 0.847348
Test 77, loss: 1.561673, test acc: 0.883495, test avg acc: 0.797637
Train 78, loss: 1.570365, train acc: 0.909926, train avg acc: 0.861752
Test 78, loss: 1.562364, test acc: 0.890777, test avg acc: 0.809524
Train 79, loss: 1.559628, train acc: 0.908701, train avg acc: 0.855945
Test 79, loss: 1.559945, test acc: 0.881068, test avg acc: 0.795983
Train 80, loss: 1.576265, train acc: 0.907475, train avg acc: 0.858227
Test 80, loss: 1.561307, test acc: 0.883495, test avg acc: 0.797637
Train 81, loss: 1.552724, train acc: 0.912990, train avg acc: 0.870202
Test 81, loss: 1.564051, test acc: 0.883495, test avg acc: 0.798066
Train 82, loss: 1.555534, train acc: 0.922181, train avg acc: 0.879854
Test 82, loss: 1.560570, test acc: 0.885922, test avg acc: 0.799108
Train 83, loss: 1.571292, train acc: 0.909314, train avg acc: 0.853446
Test 83, loss: 1.560046, test acc: 0.888350, test avg acc: 0.801191
Train 84, loss: 1.557203, train acc: 0.911765, train avg acc: 0.846159
Test 84, loss: 1.559418, test acc: 0.881068, test avg acc: 0.795983
Train 85, loss: 1.568974, train acc: 0.904412, train avg acc: 0.866521
Test 85, loss: 1.563171, test acc: 0.885922, test avg acc: 0.799108
Train 86, loss: 1.554869, train acc: 0.914828, train avg acc: 0.861907
Test 86, loss: 1.556625, test acc: 0.883495, test avg acc: 0.797545
Train 87, loss: 1.556598, train acc: 0.914828, train avg acc: 0.858306
Test 87, loss: 1.564122, test acc: 0.883495, test avg acc: 0.797545
Train 88, loss: 1.559597, train acc: 0.909926, train avg acc: 0.860075
Test 88, loss: 1.562654, test acc: 0.883495, test avg acc: 0.797545
Train 89, loss: 1.563187, train acc: 0.906863, train avg acc: 0.856649
Test 89, loss: 1.563103, test acc: 0.888350, test avg acc: 0.801191
Train 90, loss: 1.550248, train acc: 0.920343, train avg acc: 0.878361
Test 90, loss: 1.556153, test acc: 0.883495, test avg acc: 0.797545
Train 91, loss: 1.535999, train acc: 0.930147, train avg acc: 0.878413
Test 91, loss: 1.558404, test acc: 0.885922, test avg acc: 0.799108
Train 92, loss: 1.552551, train acc: 0.911765, train avg acc: 0.865172
Test 92, loss: 1.560049, test acc: 0.883495, test avg acc: 0.797545
Train 93, loss: 1.555844, train acc: 0.912377, train avg acc: 0.869138
Test 93, loss: 1.560668, test acc: 0.885922, test avg acc: 0.799628
Train 94, loss: 1.562812, train acc: 0.909314, train avg acc: 0.856272
Test 94, loss: 1.558700, test acc: 0.885922, test avg acc: 0.799108
Train 95, loss: 1.557705, train acc: 0.921569, train avg acc: 0.876498
Test 95, loss: 1.558248, test acc: 0.885922, test avg acc: 0.799108
Train 96, loss: 1.561956, train acc: 0.911765, train avg acc: 0.866795
Test 96, loss: 1.557029, test acc: 0.885922, test avg acc: 0.799108
Train 97, loss: 1.562740, train acc: 0.908701, train avg acc: 0.856446
Test 97, loss: 1.558745, test acc: 0.885922, test avg acc: 0.799108
Train 98, loss: 1.571538, train acc: 0.898897, train avg acc: 0.853461
Test 98, loss: 1.558875, test acc: 0.888350, test avg acc: 0.800670
Train 99, loss: 1.551237, train acc: 0.909314, train avg acc: 0.863066
Test 99, loss: 1.557756, test acc: 0.885922, test avg acc: 0.799108
